Using master - a54d38b0ca7ccf8fbd44f5273486af8b58065af8 - 2022-06-22 06:07:56.463777

22/06/2022-06:07:56 [Main] Starting modules
22/06/2022-06:08:04 [flowmldetection] 	Training Score: 0.018867924528301886
22/06/2022-06:08:07 [flowmldetection] 	Training Score: 0.019417475728155338
22/06/2022-06:08:11 [flowmldetection] 	Training Score: 0.013071895424836602
22/06/2022-06:08:15 [flowmldetection] 	Training Score: 0.009852216748768473
22/06/2022-06:08:19 [flowmldetection] 	Training Score: 0.015810276679841896
22/06/2022-06:08:25 [flowmldetection] 	Training Score: 0.0165016501650165
22/06/2022-06:08:30 [flowmldetection] 	Training Score: 0.019830028328611898
22/06/2022-06:08:36 [flowmldetection] 	Training Score: 0.017369727047146403
22/06/2022-06:08:42 [flowmldetection] 	Training Score: 0.013245033112582781
22/06/2022-06:08:48 [flowmldetection] 	Training Score: 0.9005964214711729
22/06/2022-06:08:56 [flowmldetection] 	Training Score: 0.9023508137432188
22/06/2022-06:09:04 [flowmldetection] 	Training Score: 0.9054726368159204
22/06/2022-06:09:13 [flowmldetection] 	Training Score: 0.9218989280245024
22/06/2022-06:09:23 [flowmldetection] 	Training Score: 0.9431009957325747
22/06/2022-06:09:33 [flowmldetection] 	Training Score: 0.9694555112881806
22/06/2022-06:09:44 [flowmldetection] 	Training Score: 0.9738480697384807
22/06/2022-06:09:55 [flowmldetection] 	Training Score: 0.9800703399765534
22/06/2022-06:10:06 [flowmldetection] 	Training Score: 0.9833887043189369
22/06/2022-06:10:18 [flowmldetection] 	Training Score: 0.9874081846799581
22/06/2022-06:10:29 [flowmldetection] 	Training Score: 0.9920239282153539
22/06/2022-06:10:39 [flowmldetection] 	Training Score: 0.9924026590693258
22/06/2022-06:10:51 [flowmldetection] 	Training Score: 0.9909338168631007
22/06/2022-06:10:53 [update_manager] The data domain is not valid. It was found in modules/threat_intelligence/remote_data_files//targetedthreats.csv.
22/06/2022-06:11:04 [flowmldetection] 	Training Score: 0.9904596704249783
22/06/2022-06:11:18 [flowmldetection] 	Training Score: 0.9933499584372403
22/06/2022-06:11:32 [flowmldetection] 	Training Score: 0.994413407821229
22/06/2022-06:11:48 [flowmldetection] 	Training Score: 0.9953952417498081
22/06/2022-06:12:04 [flowmldetection] 	Training Score: 0.9955654101995566
22/06/2022-06:12:19 [flowmldetection] 	Training Score: 0.9957234497505346
22/06/2022-06:12:35 [flowmldetection] 	Training Score: 0.9951823812801102
22/06/2022-06:12:53 [flowmldetection] 	Training Score: 0.9960079840319361
22/06/2022-06:13:10 [flowmldetection] 	Training Score: 0.9967804249839022
22/06/2022-06:13:28 [flowmldetection] 	Training Score: 0.9968808484092326
22/06/2022-06:13:48 [flowmldetection] 	Training Score: 0.9969751966122202
22/06/2022-06:14:07 [flowmldetection] 	Training Score: 0.9964768056371109
22/06/2022-06:14:28 [flowmldetection] 	Training Score: 0.9960068454078722
22/06/2022-06:14:48 [flowmldetection] 	Training Score: 0.9961175818080976
22/06/2022-06:15:10 [flowmldetection] 	Training Score: 0.9962223421478683
22/06/2022-06:15:33 [flowmldetection] 	Training Score: 0.9963215974776668
22/06/2022-06:15:54 [flowmldetection] 	Training Score: 0.996415770609319
22/06/2022-06:16:13 [flowmldetection] 	Training Score: 0.9965052421367948
22/06/2022-06:16:35 [flowmldetection] 	Training Score: 0.9965903555772041
22/06/2022-06:16:57 [flowmldetection] 	Training Score: 0.9966714217784118
22/06/2022-06:17:18 [flowmldetection] 	Training Score: 0.9972131908964236
22/06/2022-06:17:43 [flowmldetection] 	Training Score: 0.9972764412165229
22/06/2022-06:18:08 [flowmldetection] 	Training Score: 0.9973368841544608
22/06/2022-06:18:34 [flowmldetection] 	Training Score: 0.9973947025618758
22/06/2022-06:19:00 [flowmldetection] 	Training Score: 0.9978750531236719
22/06/2022-06:19:26 [flowmldetection] 	Training Score: 0.997919267582189
22/06/2022-06:19:52 [flowmldetection] 	Training Score: 0.9979616795760293
22/06/2022-06:20:14 [flowmldetection] 	Training Score: 0.9984019176987615
22/06/2022-06:20:37 [flowmldetection] 	Training Score: 0.9984332158245202
22/06/2022-06:20:57 [flowmldetection] 	Training Score: 0.9984633115635805
22/06/2022-06:21:22 [flowmldetection] 	Training Score: 0.9984922728986053
22/06/2022-06:21:49 [flowmldetection] 	Training Score: 0.9985207100591716
22/06/2022-06:22:15 [flowmldetection] 	Training Score: 0.998547039593171
22/06/2022-06:22:43 [flowmldetection] 	Training Score: 0.998572957545487
22/06/2022-06:23:09 [flowmldetection] 	Training Score: 0.9985979670522257
22/06/2022-06:23:37 [flowmldetection] 	Training Score: 0.998622115053393
22/06/2022-06:24:05 [flowmldetection] 	Training Score: 0.9986454453098544
22/06/2022-06:24:32 [flowmldetection] 	Training Score: 0.999000999000999
22/06/2022-06:25:01 [flowmldetection] 	Training Score: 0.9993449066491975
22/06/2022-06:25:27 [flowmldetection] 	Training Score: 0.9993554624556881
22/06/2022-06:25:58 [flowmldetection] 	Training Score: 0.9993656834760546
22/06/2022-06:26:28 [flowmldetection] 	Training Score: 0.9993755853886981
22/06/2022-06:26:55 [flowmldetection] 	Training Score: 0.9993851829080849
22/06/2022-06:27:27 [flowmldetection] 	Training Score: 0.9993944898577051
22/06/2022-06:27:59 [flowmldetection] 	Training Score: 0.9994035192365046
22/06/2022-06:28:30 [flowmldetection] 	Training Score: 0.9991184249191889
22/06/2022-06:29:02 [flowmldetection] 	Training Score: 0.9991311902693311
22/06/2022-06:29:34 [flowmldetection] 	Training Score: 0.9991435912075364
22/06/2022-06:30:07 [flowmldetection] 	Training Score: 0.9991556431184914
22/06/2022-06:30:41 [flowmldetection] 	Training Score: 0.9991673605328892
22/06/2022-06:31:15 [flowmldetection] 	Training Score: 0.9986312619764577
22/06/2022-06:31:50 [flowmldetection] 	Training Score: 0.9986497434512558
22/06/2022-06:32:27 [flowmldetection] 	Training Score: 0.9986677324806821
22/06/2022-06:33:07 [flowmldetection] 	Training Score: 0.9986852484880357
22/06/2022-06:33:45 [flowmldetection] 	Training Score: 0.9987023098883987
